Direct Adaptive Control of Manipulators and Introduction, 0:18
Topics, 1:58
State Space, 6:36
State Space Form, 6:53
State Space Model, 8:25
Direct Adaptive Control Schemes, 10:30
Canonical Form, 13:21
Pd Controller, 15:35
Pid Computer Torque Control, 16:46
Computer Torque Control, 21:36
Adaptive Control, 22:07
What Is Adaptive Control, 22:11
Approximation Based Controller, 27:17
Example of Adaptive Control, 41:03
Robust Controller Example, 49:37
Neural Network-Based Adaptive Controller, 50:36
Closed Loop Error Dynamics, 52:31
